county_fips,county_name,median_household_income,poverty_percent,households_without_vehicle_percent,acs_vintage
48389,Reeves County,64297,16.8,6.1,2024 ACS 5-year
48391,Refugio County,60181,14.6,10.4,2024 ACS 5-year
48393,Roberts County,67868,5.6,3.4,2024 ACS 5-year
48395,Robertson County,72236,13.5,8.9,2024 ACS 5-year
48397,Rockwall County,127981,4.0,2.1,2024 ACS 5-year
48399,Runnels County,62632,11.0,3.2,2024 ACS 5-year
48401,Rusk County,68658,14.4,4.5,2024 ACS 5-year
48403,Sabine County,66585,11.0,2.7,2024 ACS 5-year
48405,San Augustine County,50408,27.1,8.0,2024 ACS 5-year
48407,San Jacinto County,65364,18.4,4.2,2024 ACS 5-year
48409,San Patricio County,69704,14.8,6.4,2024 ACS 5-year
48411,San Saba County,55819,10.7,2.0,2024 ACS 5-year
48413,Schleicher County,86694,9.9,4.1,2024 ACS 5-year
48415,Scurry County,60039,11.6,5.7,2024 ACS 5-year
48417,Shackelford County,73047,9.5,2.9,2024 ACS 5-year
48419,Shelby County,49776,20.6,6.7,2024 ACS 5-year
48421,Sherman County,61250,10.4,0.0,2024 ACS 5-year
48423,Smith County,74192,11.6,4.7,2024 ACS 5-year
48425,Somervell County,79825,7.5,2.4,2024 ACS 5-year
48427,Starr County,37639,33.5,10.4,2024 ACS 5-year
48429,Stephens County,58008,14.6,8.4,2024 ACS 5-year
48431,Sterling County,64954,4.3,0.0,2024 ACS 5-year
48433,Stonewall County,56875,14.9,4.7,2024 ACS 5-year
48435,Sutton County,78906,4.5,3.8,2024 ACS 5-year
48437,Swisher County,36165,30.1,6.1,2024 ACS 5-year
48439,Tarrant County,84207,11.1,4.6,2024 ACS 5-year
48441,Taylor County,67139,14.7,3.8,2024 ACS 5-year
48443,Terrell County,44886,7.7,5.3,2024 ACS 5-year
48445,Terry County,44100,18.3,5.2,2024 ACS 5-year
48447,Throckmorton County,59216,24.2,1.8,2024 ACS 5-year
48449,Titus County,58425,17.1,4.8,2024 ACS 5-year
48451,Tom Green County,68370,11.1,5.0,2024 ACS 5-year
48453,Travis County,99611,10.9,5.9,2024 ACS 5-year
48455,Trinity County,52018,17.6,9.7,2024 ACS 5-year
48457,Tyler County,55396,17.9,5.1,2024 ACS 5-year
48459,Upshur County,66208,12.4,3.8,2024 ACS 5-year
48461,Upton County,49167,16.0,2.8,2024 ACS 5-year
48463,Uvalde County,53801,22.2,5.6,2024 ACS 5-year
48465,Val Verde County,66100,16.6,5.9,2024 ACS 5-year
48467,Van Zandt County,69475,11.1,3.2,2024 ACS 5-year
48469,Victoria County,70896,16.2,6.2,2024 ACS 5-year
48471,Walker County,52324,18.4,8.1,2024 ACS 5-year
48473,Waller County,80397,14.6,2.9,2024 ACS 5-year
48475,Ward County,65952,14.9,6.5,2024 ACS 5-year
48477,Washington County,77825,13.4,6.8,2024 ACS 5-year
48479,Webb County,63058,21.3,6.6,2024 ACS 5-year
48481,Wharton County,66924,13.6,7.2,2024 ACS 5-year
48483,Wheeler County,60167,15.4,6.0,2024 ACS 5-year
48485,Wichita County,63524,16.5,7.1,2024 ACS 5-year
48487,Wilbarger County,54102,17.5,5.2,2024 ACS 5-year
48489,Willacy County,54180,24.0,5.7,2024 ACS 5-year
48491,Williamson County,111340,6.4,3.0,2024 ACS 5-year
48493,Wilson County,94565,11.3,3.2,2024 ACS 5-year
48495,Winkler County,86900,16.2,3.1,2024 ACS 5-year
48497,Wise County,93421,8.9,2.6,2024 ACS 5-year
48499,Wood County,60300,12.5,5.1,2024 ACS 5-year
48501,Yoakum County,84925,16.8,3.7,2024 ACS 5-year
48503,Young County,68010,16.5,6.8,2024 ACS 5-year
48505,Zapata County,39239,38.4,8.8,2024 ACS 5-year
48507,Zavala County,36749,33.9,8.0,2024 ACS 5-year
