county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48457,Tyler,20382,15.3,"(13.2, 17.6)",12.7,0,0,0.0,No,30.7710932,-94.3764471,50.1,NCT06112418,Gadolin Research,Beaumont,Jefferson
48115,Dawson,12004,15.3,"(13.3, 17.5)",15.3,0,0,0.0,No,32.742441,-101.9476834,58.0,NCT06580964,Texas Tech University,Lubbock,Lubbock
48375,Potter,114647,15.3,"(13.3, 17.4)",14.4,3,3,2.617,Yes,35.4011849,-101.8940068,12.9,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48305,Lynn,5761,15.2,"(13.1, 17.5)",13.4,0,0,0.0,No,33.176742,-101.8161278,27.8,NCT06580964,Texas Tech University,Lubbock,Lubbock
48197,Hardeman,3490,15.2,"(13.2, 17.2)",11.9,0,0,0.0,No,34.2902354,-99.7455237,127.2,NCT06112418,Hendrick Health,Abilene,Taylor
48369,Parmer,9617,15.0,"(12.9, 16.9)",13.5,0,0,0.0,No,34.5300207,-102.7845398,72.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48443,Terrell,687,15.0,"(12.9, 17.2)",10.4,0,0,0.0,No,30.2246104,-102.0766568,175.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48481,Wharton,41739,15.0,"(13.2, 17.3)",12.9,0,0,0.0,No,29.2777605,-96.2222023,34.8,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend
48103,Crane,4574,15.0,"(13.0, 17.1)",14.5,0,0,0.0,No,31.4283669,-102.5154426,153.4,NCT06580964,Texas Tech University,Lubbock,Lubbock
48005,Angelina,87319,14.9,"(13.0, 16.8)",13.0,0,0,0.0,No,31.2547805,-94.6115821,82.2,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48207,Haskell,5385,14.9,"(12.8, 17.0)",12.3,0,0,0.0,No,33.1781414,-99.7302978,50.4,NCT06112418,Hendrick Health,Abilene,Taylor
48169,Garza,4517,14.9,"(13.6, 16.1)",14.5,0,0,0.0,No,33.1797921,-101.298429,42.3,NCT06580964,Texas Tech University,Lubbock,Lubbock
48341,Moore,21190,14.9,"(13.8, 16.2)",14.7,0,0,0.0,No,35.8375941,-101.8929226,42.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
