stateabbr,countyname,countyfips,totalpopulation,diabetes_crudeprev,diabetes_crude95ci,diabetes_adjprev,diabetes_adj95ci
TX,Harrison,48203,70895,13.8,"(12.0, 15.9)",11.9,"(10.3, 13.8)"
TX,Motley,48345,1020,14.7,"(13.2, 16.2)",10.5,"( 9.5, 11.6)"
TX,Kimble,48267,4442,16.6,"(14.2, 19.0)",11.7,"(10.0, 13.4)"
TX,Jack,48237,8875,13.4,"(11.5, 15.4)",11.8,"(10.1, 13.6)"
TX,Young,48503,18124,13.4,"(11.4, 15.5)",10.8,"( 9.2, 12.5)"
TX,Eastland,48133,18037,14.1,"(12.1, 16.2)",11.4,"( 9.8, 13.1)"
TX,Parker,48367,173494,10.7,"( 9.1, 12.5)",9.2,"( 7.8, 10.7)"
TX,Ellis,48139,222829,11.6,"(10.0, 13.4)",10.9,"( 9.4, 12.5)"
TX,Callahan,48059,14374,13.2,"(11.2, 15.3)",10.2,"( 8.7, 11.9)"
TX,Austin,48015,31677,14.7,"(12.8, 16.9)",11.8,"(10.2, 13.6)"
TX,Galveston,48167,361744,12.3,"(10.7, 14.0)",10.8,"( 9.3, 12.3)"
TX,Wharton,48481,41739,15.0,"(13.2, 17.3)",12.9,"(11.2, 14.8)"
TX,Andrews,48003,18664,12.7,"(10.9, 14.6)",12.9,"(11.2, 14.9)"
TX,Jim Hogg,48247,4720,22.8,"(20.9, 24.9)",20.2,"(18.4, 22.1)"
TX,Crane,48103,4574,15.0,"(13.0, 17.1)",14.5,"(12.5, 16.5)"
TX,Madison,48313,13742,13.1,"(11.3, 14.9)",12.9,"(11.2, 14.8)"
TX,Sterling,48431,1397,10.5,"( 9.0, 12.2)",9.4,"( 8.0, 11.0)"
TX,Refugio,48391,6666,17.6,"(15.5, 19.9)",14.0,"(12.2, 15.9)"
TX,Hardeman,48197,3490,15.2,"(13.2, 17.2)",11.9,"(10.3, 13.5)"
TX,Dickens,48125,1711,16.7,"(14.4, 19.1)",12.2,"(10.5, 14.0)"
TX,Mason,48319,3931,14.4,"(12.8, 16.0)",9.9,"( 8.8, 10.9)"
TX,Bandera,48019,22637,15.7,"(13.6, 18.0)",10.8,"( 9.4, 12.4)"
TX,Franklin,48159,10735,13.0,"(11.1, 15.0)",9.9,"( 8.5, 11.5)"
TX,Somervell,48425,9888,12.3,"(10.5, 14.3)",9.8,"( 8.4, 11.4)"
TX,Willacy,48489,20037,18.8,"(16.3, 21.3)",19.0,"(16.5, 21.6)"
TX,Hopkins,48223,38172,13.4,"(11.5, 15.4)",11.2,"( 9.7, 12.9)"
TX,Trinity,48455,14228,16.4,"(14.2, 18.7)",11.8,"(10.1, 13.4)"
TX,Terry,48445,11547,16.4,"(14.3, 18.5)",15.1,"(13.2, 17.1)"
TX,Concho,48095,3297,14.2,"(12.9, 15.6)",12.7,"(11.6, 13.9)"
TX,Orange,48361,85722,12.4,"(10.7, 14.2)",10.9,"( 9.4, 12.5)"
TX,Randall,48381,148255,10.8,"( 9.2, 12.4)",10.0,"( 8.5, 11.4)"
TX,Hale,48189,31761,15.6,"(13.6, 17.7)",15.0,"(13.0, 17.1)"
TX,Lee,48287,18240,15.4,"(13.3, 17.7)",12.4,"(10.7, 14.3)"
TX,Jones,48253,20381,13.0,"(11.2, 14.9)",12.9,"(11.1, 14.8)"
TX,Scurry,48415,16212,13.6,"(11.8, 15.5)",12.4,"(10.7, 14.2)"
TX,Brown,48049,38709,14.0,"(12.3, 15.7)",11.4,"(10.0, 12.9)"
TX,Fisher,48151,3612,14.5,"(12.6, 16.5)",10.8,"( 9.4, 12.4)"
TX,Deaf Smith,48117,18347,16.4,"(14.3, 18.8)",16.0,"(13.9, 18.3)"
TX,Bexar,48029,2087679,13.9,"(12.2, 15.6)",13.8,"(12.1, 15.5)"
TX,Menard,48327,1958,17.6,"(15.2, 20.2)",12.1,"(10.4, 13.9)"
TX,Newton,48351,12039,18.6,"(16.2, 21.0)",14.1,"(12.2, 16.0)"
TX,Upton,48461,3109,16.6,"(15.2, 17.9)",14.8,"(13.6, 16.0)"
TX,Lipscomb,48295,2906,14.8,"(12.7, 17.1)",12.1,"(10.4, 14.0)"
TX,Hunt,48231,113347,12.3,"(10.5, 14.1)",11.2,"( 9.5, 12.9)"
TX,Clay,48077,10738,13.2,"(11.2, 15.2)",9.8,"( 8.3, 11.3)"
TX,Mills,48333,4548,14.1,"(11.8, 16.3)",9.9,"( 8.3, 11.5)"
TX,Grayson,48181,146907,12.5,"(10.8, 14.4)",10.6,"( 9.1, 12.2)"
TX,Kenedy,48261,343,18.5,"(16.1, 21.0)",14.9,"(12.8, 16.9)"
TX,Winkler,48495,7414,14.1,"(12.3, 16.2)",13.3,"(11.5, 15.2)"
