nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT07662213,"A Study to Find Out if the Study Drug Elecoglipron Helps Adults With Type 2 Diabetes Mellitus by Comparing it With Semaglutide, a Medicine Already Used to Treat Type 2 Diabetes Mellitus",RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07667803,A Master Protocol to Investigate Efficacy and Safety of Elecoglipron in Participants With Obesity or Overweight With or Without T2DM,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Houston,Texas,77081,29.76328,-95.36327
NCT07668388,A Research Study Comparing How Well Different Doses of the Medicine UBT251 Lower Blood Sugar in People With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,Private Practice - Dr. Laila A. Hassan,RECRUITING,Houston,Texas,77089,29.76328,-95.36327
NCT07667803,A Master Protocol to Investigate Efficacy and Safety of Elecoglipron in Participants With Obesity or Overweight With or Without T2DM,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Humble,Texas,77346,29.99883,-95.26216
NCT07546929,HP-211 Safety and Proof of Concept Dose Ranging Study in Patients With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,Tekton Research,RECRUITING,Irving,Texas,75039,32.81402,-96.94889
NCT07662044,A Phase III Study to Investigate the Efficacy and Safety of Elecoglipron Alone or in Combination With Dapagliflozin Compared With Placebo in Adults With Type 2 Diabetes Mellitus,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Irving,Texas,75061,32.81402,-96.94889
NCT07667803,A Master Protocol to Investigate Efficacy and Safety of Elecoglipron in Participants With Obesity or Overweight With or Without T2DM,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Irving,Texas,75063,32.81402,-96.94889
NCT05390892,PREvention of CardIovascular and DiabEtic kidNey Disease in Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE4,Premier Internal Medicine Associates of Houston,RECRUITING,Katy,Texas,77493,29.78579,-95.8244
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,Gulf Coast Clinical Research,RECRUITING,Katy,Texas,77450,29.78579,-95.8244
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,"R & H Clinical Research, Inc.",RECRUITING,Katy,Texas,77450,29.78579,-95.8244
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Medical Colleagues-Texas LLP,RECRUITING,Katy,Texas,77450,29.78579,-95.8244
NCT07662213,"A Study to Find Out if the Study Drug Elecoglipron Helps Adults With Type 2 Diabetes Mellitus by Comparing it With Semaglutide, a Medicine Already Used to Treat Type 2 Diabetes Mellitus",RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Katy,Texas,77450,29.78579,-95.8244
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Sante Clinical Research,RECRUITING,Kerrville,Texas,78028,30.04743,-99.14032
NCT07392190,A Study of Eloralintide (LY3841136) in Participants With Persistent Obesity Who Are Treated With a Weekly Incretin,RECRUITING,INTERVENTIONAL,PHASE3,Activian Clinical Research,NOT_YET_RECRUITING,Kingwood,Texas,77339,30.05691,-95.18349
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,Radiance Clinical Research,RECRUITING,Lampasas,Texas,76550,31.06378,-98.1817
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Radiance Clinical Research,RECRUITING,Lampasas,Texas,76550,31.06378,-98.1817
NCT07668388,A Research Study Comparing How Well Different Doses of the Medicine UBT251 Lower Blood Sugar in People With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,Radiance Clinical Research,RECRUITING,Lampasas,Texas,76550,31.06378,-98.1817
